uuid,Keywords,label
60,An autopsy case of amyloid angiopathy-related cerebellar hemorrhage,1
61,Influence of circumferential annular grooving design of impeller on suspended fluid force of axial flow blood pump,1
62,Application of filter media surface hydrophobic modification to reduce bioclogging in the infiltration system,1
63,Application based multi-objective performance optimization of a proton exchange membrane fuel cell,0
64,High-Altitude Erythrocytosis: Mechanisms of Adaptive and Maladaptive Responses,1
65,Blockchain Based Sustainable Local Energy Trading Considering Home Energy Management and Demurrage Mechanism,0
66,Does the modifying role of institutional quality remains homogeneous in GDP-CO2 emission nexus? New evidence from ARDL approach,1
67,Stem Cell Mimicking Nanoencapsulation for Targeting Arthritis,1
68,Inside-out sustainability: The neglect of inner worlds,0
69,Pragmatic sedation strategies to prevent secondary brain injury in low-resource settings,1
70,Imbalance of carbon embodied in South-South trade: Evidence from China-India trade,1
71,Co-designing a curriculum model for career education: perspectives from regional communities in Australia,0
72,Atypical presentation of fistula dysfunction due to brachial arterial embolization mimicking stroke,1
73,Evaluating the effects of different processing methods on the nutritional composition of shrimp and the antioxidant activity of shrimp powder,1
74,Associations of human papillomavirus (HPV) genotypes and related risk factors in a cohort of women living with HIV in a Brazilian countryside city,1
75,Virtual Bronchoscopy-Guided Transbronchial Biopsy Simulation Using a Head-Mounted Display: A New Style of Flexible Bronchoscopy,0
76,Antiviral Properties of Streptomyces tuirus DBZ39 Mediated Gold Nanoparticles Against Bluetongue virus,1
77,Prevalence and Interpersonal Correlates of Internet Gaming Disorders among Chinese Adolescents,1
78,Social hierarchies and social networks in humans,1
79,Enhancing purchase intention in circular economy: An empirical evidence of remanufactured automotive product in Thailand,0
80,"Renewable energy, urbanization, and ecological footprint in the Middle East and North Africa region",1
81,Modelling reverse supply chain through system dynamics for realizing the transition towards the circular economy: A case study on electric vehicle batteries,0
82,Design of fractional order PID controller for load frequency control system with communication delay,0
83,An optimised grey buffer operator for forecasting the production and sales of new energy vehicles in China,0
84,Partial replacement of copper slag with treated crumb rubber aggregates in alkali-activated slag mortar,0
85,Prehospital Supraglottic Airways: An NAEMSP Position Statement and Resource Document,1
86,Effect of the Lipid Fraction of Microalgae on Biochemical Parameters in Female C57BL/6 Mice,1
87,Anthelmintic potency of Rumex crispus L. extracts against Caenorhabditis elegans and non-targeted identification of the bioactive compounds,1
88,The spatial effect of tourism economic development on regional ecological efficiency,1
89,Impact of foreign trade on energy efficiency in China's textile industry,0
90,Circular RNA Plasmacytoma Variant Translocation 1 (CircPVT1) knockdown ameliorates hypoxia-induced bladder fibrosis by regulating the miR-203/Suppressor of Cytokine Signaling 3 (SOCS3) signaling axis,1
91,Reduction of acute gastric volvulus in a 3-year-old using a balloon-attached endoscope combined with gel immersion endoscopy,1
92,The impact of macroeconomic and financial development on carbon dioxide emissions in Pakistan: evidence with a novel dynamic simulated ARDL approach,1
93,Low-dose oral isotretinoin for the treatment of adult patients with mild-to-moderate acne vulgaris: Systematic review and meta-analysis,1
94,The Noctambuli: tales of sleepwalkers and secrets of the body in seventeenth-century England,1
95,Benign mixed Müllerian (duct) vaginal tumor in a 12-y-old goat,1
96,The risk of stent thrombosis of dual antithrombotic therapy for patients who require oral anticoagulant undergoing percutaneous coronary intervention: insights of a meta-analysis of randomized trials,1
97,Prediction of biogas production rate from anaerobic hybrid reactor by artificial neural network and nonlinear regressions models,1
98,The essential role of fungal peroxisomes in plant infection,1
99,From physical to ultrasound examination in lymphedema: a novel dynamic approach,1
100,Management of traumatic brain injury: a narrative review of current evidence,1
101,Two new eudesmane sesquiterpene glucosides from the aerial parts of Artemisia vulgaris,1
102,"Social Safety of Society for Developing Countries to Meet Sustainable Development Standards: Indicators, Level, Strategic Benchmarks (with Calculations Based on the Case Study of Ukraine)",0
103,Physiology and pathophysiology of human airway mucus,1
104,A population structure-sensitive mathematical model assessing the effects of vaccination during the third surge of COVID-19 in Italy,1
105,Hymen and virginity: What every paediatrician should know,1
106,Asymmetric Hydroaminoalkylation of Alkenylazaarenes via Cooperative Photoredox and Chiral Hydrogen-Bonding Catalysis,1
107,Assessment of tumor burden and response to therapy in patients with colorectal cancer using a quantitative ctDNA test for methylated BCAT1/IKZF1,1
108,Medullary bone in male budgerigars ( Melopsittacus undulatus) with testicular neoplasms,1
109,Removal of volatile organic compounds (VOCs) emitted from a textile dyeing wastewater treatment plant and the attenuation of respiratory health risks using a pilot-scale biofilter,1
110,Estimating health burden and economic loss attributable to short-term exposure to multiple air pollutants in China,1
111,Techno-economic optimization analysis of stand-alone renewable energy system for remote areas,0
112,Efficient irrigation water allocation and its impact on agricultural sustainability and water scarcity under uncertainty,0
113,Soybean Meal Extract Preserves Memory Ability by Increasing Presynaptic Function and Modulating Gut Microbiota in Rats,1
114,"Assessment of drug-drug interactions of CC-90001, a potent and selective inhibitor of c-Jun N-terminal kinase",1
115,Globalization and CO(2)emissions nexus: evidence from the EKC hypothesis in South Asian countries,1
116,Techno-economic assessment of coal- or biomass-fired oxy-combustion power plants with supercritical carbon dioxide cycle,1
117,Empagliflozin protects glomerular endothelial cell architecture in experimental diabetes through the VEGF-A/caveolin-1/PV-1 signaling pathway,1
118,CO2 utilization: Turning greenhouse gas into fuels and valuable products,0
119,Aspirin prescribing pattern and guidelines-adherence evaluation for primary prevention of cardiovascular diseases at a teaching hospital,1
120,Effects of Boron Neutron Capture Therapy on the Growth of Subcutaneous Xenografts of Human Colorectal Adenocarcinoma SW-620 in Immunodeficient Mice,1
121,4E analyses of an innovative polygeneration system based on SOFC,0
122,Promising antiparasitic agents from marine sponges,1
123,Plastoquinone homeostasis in plant acclimation to light intensity,1
124,Enhancement of early-age strength of the high content fly ash blended cement paste by sodium sulfate and C-S-H seeds towards a greener binder,0
125,Challenging Behaviors Online Modules for Parents of Young Children with Disabilities: A Pilot Feasibility Study,1
126,Optimisation of cascade reservoir operation considering environmental flows for different environmental management classes,0
127,Mitochondrial respiration in rats during hypothermia resulting from central drug administration,1
128,Asymmetric effect of structural change and renewable energy consumption on carbon emissions: designing an SDG framework for Turkey,0
129,Evaluating the impact of clean energy consumption and factor allocation on China's air pollution: A spatial econometric approach,0
130,FDI and environmental degradation: the role of political institutions in South Asian countries,0
131,"Can ""new infrastructure"" reverse the ""growth with pollution"" profit growth pattern? An empirical analysis based on listed companies in China",0
132,"An overview on Hebephrenia, a diagnostic cornerstone in the neurodevelopmental model of Schizophrenia",1
133,Test box experiment and simulations of a green-roof: Thermal and energy performance of a residential building standard for Mexico,0
134,Synergetic PtNP@Co3O4 hollow nanopolyhedrals as peroxidase-like nanozymes for the dual-channel homogeneous biosensing of prostate-specific antigen,1
135,Study the Differences between the Parameters of Learning and Exploratory Activities in Adult Male Rhesus Monkeys (Macaca mulatta) and Baboon Hamadryas (Papio hamadryas),1
136,Economic benefits of fourth generation district heating,0
137,Experimental evaluation of the thermal performance of cool pavement materials in cold regions of China,0
138,Distance that the catheter covers from skin to the vein using the US-guided in-plane technique: The impact of footprint of the probe and depth of the vein,0
139,Social Support and Subjective Health in Fibromyalgia: Self-Compassion as a Mediator,1
140,Protein tyrosine phosphatase receptor type Z1 inhibits the cisplatin resistance of ovarian cancer by regulating PI3K/AKT/mTOR signal pathway,1
141,"Impact of irrigation and fertilization regimes on greenhouse gas emissions from soil of mulching cultivated maize (Zea mays L.) field in the upper reaches of Yellow River, China",1
142,New challenges of food security in Northwest China: Water footprint and virtual water perspective,0
143,Techno-economic analysis of grid-integrated PV/wind systems for electricity reliability enhancement in Ethiopian industrial park,0
144,Analyzing the environmental Kuznets curve hypothesis: The role of disaggregated transport infrastructure investments,0
145,Institutional ethnography - a primer,1
146,Impact of income inequality on CO2 emissions in G20 countries,0
147,The analysis and probabilistic health risk assessment of polycyclic aromatic hydrocarbons in cereal products,1
148,Impact of Trade Openness and Human Capital on Economic Growth: A Comparative Investigation of Asian Countries,1
149,Environmental sustainable value in agriculture revisited: How does Common Agricultural Policy contribute to eco-efficiency?,0
150,How is COVID-19 affecting environmental pollution in US cities? Evidence from asymmetric Fourier causality test,1
151,"Causal interactions between trade openness, renewable electricity consumption, and economic growth in Asia-Pacific countries: Fresh evidence from a bootstrap ARDL approach",1
152,Use of waste marble dust and recycled glass for sustainable concrete production,0
153,From the COVID-19 pandemic to corrupt practices: a tale of two evils,1
154,Medical abortion in primary care,1
155,Are smart cities more ecologically efficient? Evidence from China,0
156,Desmoglein-3 induces YAP phosphorylation and inactivation during collective migration of oral carcinoma cells,1
157,Green Brand of Companies and Greenwashing under Sustainable Development Goals,1
158,The complex web of canonical and non-canonical Hedgehog signaling,1
159,Struvite pyrolysate cycling technology assisted by thermal hydrolysis pretreatment to recover ammonium nitrogen from composting leachate,0
160,Functional CDKN2A assay identifies frequent deleterious alleles misclassified as variants of uncertain significance,1
161,Satisfaction of Basic Psychological Needs and Adherence to Responsible Gambling Practices: The Mediating Role of Flourishing,1
162,Reliability and validity of the polish version of the vulnerability to Abuse Screening Scale (VASS),1
163,Numerical analysis of photovoltaic solar panel cooling by a flat plate closed-loop pulsating heat pipe,0
164,Quantitative structure-activity relationship(QSAR) models for color and COD removal for some dyes subjected to electrochemical oxidation,1
165,Techno-economic assessment of biomass gasification-based mini-grids for productive energy applications: The case of rural India,0
166,Linking biomass energy and CO2 emissions in China using dynamic Autoregressive-Distributed Lag simulations,0
167,Economic and environmental life cycle assessment of organic waste treatment by means of incineration and biogasi fication. Is source segregation of biowaste justi fied in Germany?,1
168,Multiple large cell neuroendocrine carcinomas in the rectum and descending colon presented with liver metastasis: A case report,1
169,Acid-base effects of combined renal deletion of NBCe1-A and NBCe1-B,1
170,"Role of Inflammatory Niche and Adult Cardiomyocyte Coculture on Differentiation, Matrix Synthesis, and Secretome Release by Human Bone Marrow Mesenchymal Stem Cells",1
171,Antithrombotic Activity of the Antiplatelet Agent Angipur on the Model of Arterial Thrombosis in Rats with Isoproterenol-Induced Myocardial Infarction,1
172,"Drought Risk to Agricultural Systems in Zimbabwe: A Spatial Analysis of Hazard, Exposure, and Vulnerability",1
173,"Urban Digital Twins for Smart Cities and Citizens: The Case Study of Herrenberg, Germany",0
174,Classification and Radiological Diagnosis of Thoracolumbar Spine Fractures: WFNS Spine Committee Recommendations,1
175,Elaboration of geopolymers based on clays by-products from phosphate mines for construction applications,0
176,Clinical impact of subcutaneous treprostinil in trisomy 21 patient with pulmonary arterial hypertension associated with CHD,1
177,"Pollution, economic growth, and COVID-19 deaths in India: a machine learning evidence",1
178,Decoding genome recombination and sex reversal,1
179,Circular economy strategies for adaptive reuse of cultural heritage buildings to reduce environmental impacts,0
180,Reproducibility and flexibility of monoclonal antibody production with Nicotiana benthamiana,1
181,The application of ecological footprint and biocapacity for environmental carrying capacity assessment: A new approach for European cities,1
182,Consolidated bioprocessing of corn cob-derived hemicellulose: engineered industrialSaccharomyces cerevisiaeas efficient whole cell biocatalysts,1
183,Genomic sequencing of a pregnancy associated symptomatic meningioma of the diaphragma sellae: a case report,1
184,A photoelicitation exploration on formally homeless people experience with Universal Credit: System error and 'the government don't care',1
185,Effects of technological innovation on energy efficiency in China: Evidence from dynamic panel of 284 cities,0
186,An assessment of environmental sustainability corridor: The role of economic expansion and research and development in EU countries,1
187,Global prevalence of cardiopulmonary resuscitation training among the general public: a scoping review,1
188,The impact of diet on wastewater treatment works phosphorus loading,1
189,Using different multivariate approaches to assess water quality of qanats in arid zones of Southern Central Mexico,1
190,Assessing alternative crop establishment methods with a sustainability lens in rice production systems of Eastern India,0
191,Circulating Cell-Free Mitochondrial DNA in Pregnancy,1
192,"Complete mitochondrial genome of Manispentadactylapentadactyla (Mammalia: Pholidota), an endemic subspecies of Chinese pangolin: mitogenome characterisation and phylogenetic implications",1
193,Personal willingness to receive a Covid-19 vaccine and its relationship with intergroup psychology: Evidence from the Philippines and Pakistan,1
194,Comparative study of municipal solid waste disposal in three Chinese representative cities,1
195,"Modeling the nexus between coal consumption, FDI inflow and economic expansion: does industrialization matter in South Africa?",1
196,The potential for integration of hydrogen for complete energy self-sufficiency in residential buildings with photovoltaic and battery storage systems,0
197,The effect of the low stromal ratio induced by neoadjuvant chemotherapy on recurrence patterns in borderline resectable pancreatic ductal adenocarcinoma,1
198,The influence of multiple environmental regulations on haze pollution: Evidence from China,0
199,The impacts of different proxies for financialization on carbon emissions in top-ten emitter countries,0
200,Outcome of Antibody-Mediated Fetal Heart Disease With Standardized Anti-Inflammatory Transplacental Treatment,1
201,Time-varying effect of oil price shocks on the stock market returns: Evidence from oil-importing and oil-exporting countries,1
202,A current perspective for photocatalysis towards the hydrogen production from biomass-derived organic substances and water,0
203,Singapore First Aid Guidelines 2021,1
204,Cooperative green innovation,1
205,A computationally efficient Bayesian seemingly unrelated regressions model for high-dimensional quantitative trait loci discovery,0
206,Risk assessment of corroded casing based on analytic hierarchy process and fuzzy comprehensive evaluation,0
207,The COVID-19 Pandemic and Its Implications for Rural Economies,1
208,CrowdMed-II: a blockchain-based framework for efficient consent management in health data sharing,1
209,Design of the lentivirus-driven sustained LR12 delivery system for TREM-1 inhibition for palliating atherosclerosis,1
210,Cervical epidural hematoma with Brown-Sequard syndrome caused by an epidural injection: a case report,1
211,Cardiorenal Effects of Long-Term Phosphodiesterase V Inhibition in Pre-Heart Failure,1
212,Does the d2 Test of Attention only assess sustained attention? Evidence of working memory processes involved,1
213,Hidden toxins: bathtubs as a potential source of lead exposure in children,1
214,Role of the nurse in supporting patients to self-manage their medicines effectively,1
215,Bi-Level Programming for Optimal Operation of an Active Distribution Network With Multiple Virtual Power Plants,0
216,Targeted Treatment of Chronic Lymphocytic Leukemia: Clinical Utility of Acalabrutinib,1
217,Modelling and optimisation of a hybrid PV-wind turbine-pumped hydro storage energy system for mini-grid application in coastline communities,0
218,Spatiotemporal regularity and spillover effects of carbon emission intensity in China's Bohai Economic Rim,0
219,Passerini-Smiles Reaction of α-Ketophosphonates: Platform for Phospha-Brook/Smiles Embedded Cascades,1
220,Chiral Hybrid Copper(I) Halides for High Efficiency Second Harmonic Generation with a Broadband Transparency Window,1
221,Prediction intervals of the COVID-19 cases by HAR models with growth rates and vaccination rates in top eight affected countries: Bootstrap improvement,1
222,Allocating planetary boundaries to large economies: Distributional consequences of alternative perspectives on distributive fairness,1
223,"Spatiotemporal Dynamics and Driving Forces of Urban Land-Use Expansion: A Case Study of the Yangtze River Economic Belt, China",1
224,A step to clean energy - Sustainability in energy system management in an emerging economy context,0
225,Engineering of a protein probe with multiple inputs and multiple outputs for evaluation of alpha synuclein aggregation states,1
226,Consumption-based carbon emissions and International trade in G7 countries: The role of Environmental innovation and Renewable energy,0
227,"The asymmetric effect of tourism, financial development, and globalization on ecological footprint in Turkey",0
228,Biodiversity at disequilibrium: updating conservation strategies in cities,1
229,Comparison of PsbQ and Psb27 in photosystem II provides insight into their roles,1
230,Advances in nutrient management make it possible to accelerate biogas production and thus improve the economy of food waste processing,1
231,Shape-stable thermo-responsive nano Fe3O4/fatty acids/PET composite phase-change material for thermal energy management and saving applications,1
232,"Chromodomain Helicase DNA Binding Protein 1-like, a negative regulator of Forkhead box O3a, promotes the proliferation and migration of Angiotensin II-induced vascular smooth muscle cells",1
233,Does physical weight alter the mental representation of the body? Evidence from motor imagery in obesity,1
234,"The environmental sustainability effects of income, labour force, and tourism development in OECD countries",1
235,Techno-economic analysis of a grid-connected PV/battery system using the teaching-learning-based optimization algorithm,0
236,Interplay between technological innovation and environmental quality: Formulating the SDG policies for next 11 economies,0
237,Treatment technologies for bakers' yeast production wastewater,0
238,Frequency of Thrombotic Risk Factors in Patients with Chronic Thromboembolic Pulmonary Hypertension and Acute Pulmonary Embolism: A Case-Control Study,1
239,Pruritus as a Presenting Symptom of FIP1L1-PDGFRA-Positive Chronic Eosinophilic Leukemia,1
240,Coordination of dual-function acquisition price and corporate social responsibility in a sustainable closed-loop supply chain,0
241,Evaluation of shape factor impact on discharge coefficient of side orifices using boost simulation model with extreme learning machine data-driven,0
242,Label-free identification of human glioma xenograft of mouse brain with quantitative ultraviolet photoacoustic histology imaging,1
243,Outstanding Multi-Photon Absorption at π-Delocalizable Metallodendrimers,1
244,Respondents' Involvement in Tourist Activities at the Time of the COVID-19 Pandemic,0
245,"Antibacterial, anti-biofilm, and anti-virulence potential of tea tree oil against leaf blight pathogen Xanthomonas oryzae pv. oryzae instigates disease suppression",1
246,"Quantifying expansion and removal of Spartina alterniflora on Chongming island, China, using time series Landsat images during 1995-2018",0
247,"Particulate matter-bound organic compounds: levels, mutagenicity, and health risks",1
248,Life cycle assessment of a small-scale methanol production system: A Power-to-Fuel strategy for biogas plants,0
249,Change in cotton plant quality in response to application of anaerobically digested sewage sludge,1
250,Provincial perspective analysis on the coordination between urbanization growth and resource environment carrying capacity (RECC) in China,0
251,BODIPY based Metal-Organic Macrocycles and Frameworks: Recent Therapeutic Developments,1
252,Sinonasal Hamartomas: From Nasal Chondromesenchymal Hamartoma to Respiratory Epithelial Adenomatoid Hamartoma. Report of six Cases and Review of the Literature,1
253,"Operation of conventional and unconventional energy sources to drive a reverse osmosis desalination plant in Sinai Peninsula, Egypt",0
254,Investigating thyroid nodules,1
255,Spatially resolved transcriptomics in immersive environments,1
256,Wind energy utilization for hydrogen production in an underdeveloped country: An economic investigation,0
257,Making the circular economy work for human development,0
258,Strategic interaction of environmental regulation and green productivity growth in China: Green innovation or pollution refuge?,1
259,Dynamic simulation and techno-economic analysis of a concentrated solar power (CSP) plant hybridized with both thermal energy storage and natural gas,0
260,Health care expenditure and environmental pollution: a cross-country comparison across different income groups,1
261,"The asymmetric relationship between financial development, trade openness, foreign capital flows, and renewable energy consumption: Fresh evidence from panel NARDL investigation",0
262,MicroRNAs in the pathophysiology of Alzheimer's disease and Parkinson's disease: an overview,1
263,Water-Energy-Carbon Emissions nexus analysis of China: An environmental input-output model-based approach,1
264,Risk of tendon failure with repeated passage of Kirschner wires or hypodermic needles: an experimental study,1
265,Arthroscopic transosseous foveal footprint repair of the triangular fibrocartilage complex,1
266,Multiscale modeling of tumor response to vascular endothelial growth factor (VEGF) inhibitor,1
267,A load-carrier perspective examination on the change of ecological environment carrying capacity during urbanization process in China,0
268,"Performance assessment of a biomass-fuelled distributed hybrid energy system integrating molten carbonate fuel cell, externally fired gas turbine and supercritical carbon dioxide cycle",0
269,"Intra-abdominal adipose depot variation in adipogenesis, lipogenesis, angiogenesis, and fibrosis gene expression and relationships with insulin resistance and inflammation in premenopausal women with severe obesity",1
270,"Purpose Trajectories During Middle Adolescence: The Roles of Family, Teacher, and Peer Support",1
271,"Mapping Annual Land Disturbance and Reclamation in a Surface Coal Mining Region Using Google Earth Engine and the LandTrendr Algorithm: A Case Study of the Shengli Coalfield in Inner Mongolia, China",1
272,Assessing and predicting changes in ecosystem service values based on land use/cover change in the Bohai Rim coastal zone,1
273,Correlative all-optical quantification of mass density and mechanics of subcellular compartments with fluorescence specificity,1
274,The adoption of self-driving delivery robots in last mile logistics,0
275,"A Review of Further Directions for Artificial Intelligence, Machine Learning, and Deep Learning in Smart Logistics",0
276,Fiber connectivity density mapping in end-stage renal disease patients: a preliminary study,1
277,A new framework of industrialized construction in China: Towards on-site industrialization,0
278,"Cocaine trafficking from non-traditional ports: examining the cases of Argentina, Chile and Uruguay",0
279,A Global Review of Causes of Morbidity and Mortality in Free-Living Vultures,1
280,Vertical integration in the Australian community care setting: Can it work? A theoretical review of current literature,1
281,The role of tourism development on CO2 emission reduction in an extended version of the environmental Kuznets curve: evidence from top 50 tourist destination countries,0
282,Singapore Neonatal Resuscitation Guidelines 2021,1
283,Estimating individual mtDNA haplotypes in mixed DNA samples by combining MinION and MiSeq,1
284,Day-ahead stochastic scheduling of integrated multi-energy system for flexibility synergy and uncertainty balancing,0
285,"The role of plants in the formation of species-specific features in grass flies (Diptera, Chloropidae, Meromyza)",1
286,Comparing the temporal dynamics and efficacy of task-relevant and task-irrelevant memory-driven attention,1
287,Techno-Economic Assessment Guidelines for CO2 Utilization,0
288,Berberine regulates mesangial cell proliferation and cell cycle to attenuate diabetic nephropathy through the PI3K/Akt/AS160/GLUT1 signalling pathway,1
289,Carbon ion radiotherapy with complete tumor regression for primary malignant melanoma of female urethra orifice: a case report,1
290,"﻿ Primulinascutellifolia, a new species of Gesneriaceae from southern Vietnam",1
291,A lightweight automatic sleep staging method for children using single-channel EEG based on edge artificial intelligence,1
292,Ulnar variance in distal radial fractures: assessment and interpretation,1
293,Performance analysis of typical linear augmented observers for a class of MIMO systems with nonlinear uncertainty,0
294,1000 h Operational Lifetime Perovskite Solar Cells by Ambient Melting Encapsulation,1
295,Incidence and Epidemiology of Thoracolumbar Spine Fractures: WFNS Spine Committee Recommendations,1
296,Feasibility study of on/off grid large-scale PV/WT/WEC hybrid energy system in coastal cities: A case-based research,0
297,Exploring carbon emissions and international inequality in a globalized world: A multiregional-multisectoral perspective,0
298,[The wave train of COVID-19 infections],0
299,Lithium-ion battery 2nd life used as a stationary energy storage system: Ageing and economic analysis in two real cases,0
300,A framework to overcome sustainable supply chain challenges through solution measures of industry 4.0 and circular economy: An automotive case,0
301,Study of inorganic elements in different organs and tissues of Amazonian manatee (Trichechus inunguis) from Brazil,1
302,Multiscale analysis on spatiotemporal dynamics of energy consumption CO2 emissions in China: Utilizing the integrated of DMSP-OLS and NPP-VIIRS nighttime light datasets,0
303,"Energy, exergy, and economic analyses of an innovative energy storage system; liquid air energy storage (LAES) combined with high-temperature thermal energy storage (HTES)",0
304,COVID-19: A Review on the Role of Trace Elements Present in Saudi Arabian Traditional Dietary Supplements,1
305,"Passive and active performance assessment of building integrated hybrid solar photovoltaic/thermal collector prototypes: Energy, comfort, and economic analyses",0
306,"Energy investment, economic growth and carbon emissions in China-Empirical analysis based on spatial Durbin model",0
307,How does urbanization affect carbon emission efficiency? Evidence from China,0
308,"Recruitment, Readiness, and Retention of Providers at a Field Hospital During the Pandemic",1
309,A structural equation model predicting adults' online learning self-efficacy,1
310,Impact on Electricity Consumption and Market Pricing of Energy and Ancillary Services during Pandemic of COVID-19 in Italy,1
311,GSH-responsive poly-resveratrol based nanoparticles for effective drug delivery and reversing multidrug resistance,1
312,Electronic Structure Modulation in MoO2 /MoP Heterostructure to Induce Fast Electronic/Ionic Diffusion Kinetics for Lithium Storage,1
313,Shearing Sulfur Edges of VS2 Electrocatalyst Enhances its Nitrogen Reduction Performance,1
314,Untapped renewable energy potential of crop residues in Pakistan: Challenges and future directions,1
315,Exergoeconomic and multi-objective optimization of a solar thermochemical hydrogen production plant with heat recovery,0
316,Effect of institutional quality and renewable energy consumption on CO2 emissions-an empirical investigation for developing countries,1
